episode,episode_length,episode_reward,fps,step,total_time
8,55.125,0.0,90.45176056839802,1024,11.320951560977846
16,119.0,0.0,171.32887329168068,2048,11.953618562081829
24,127.4,0.0,244.09088747110448,3072,12.585475975065492
32,134.6,0.0,309.3612925778043,4096,13.240182589972392
40,113.0,0.0,368.4451165182136,5120,13.896235206979327
48,118.6,0.0,423.4378405387851,6144,14.509803829016164
56,138.6,0.0,473.07377256518043,7168,15.151970825041644
64,142.6,0.0,518.1608052198133,8192,15.809763913974166
72,124.2,0.0,560.0845474663079,9216,16.454658571979962
80,136.2,0.0,600.3865628729972,10240,17.055678180069663
88,134.6,0.0,635.7951362106218,11264,17.7163985039806
96,125.0,0.0,669.2458735610127,12288,18.360964909079485
104,123.4,0.0,701.3882707216426,13312,18.979501876048744
112,140.2,0.0,730.550133420383,14336,19.62356769805774
120,123.4,0.0,758.2157446985528,15360,20.25808631302789
128,134.6,0.0,783.6800564478401,16384,20.906490940018557
136,126.6,0.0,808.1169938824254,17408,21.5414353760425
144,133.8,0.0,831.4182753596797,18432,22.169346701004542
152,137.0,0.0,852.7554227047407,19456,22.81545151397586
160,145.0,0.0,873.9121177461558,20480,23.43485069507733
168,141.0,0.0,893.928192016467,21504,24.055623474065214
176,131.4,0.0,911.2067863448473,22528,24.72325748403091
184,148.2,0.0,929.0816597364596,23552,25.349763127043843
192,161.8,0.0,946.3998365272245,24576,25.967882761033252
200,195.4,0.0,962.9054516163764,25600,26.586203200975433
208,168.2,0.0,978.8813250476013,26624,27.198394043021835
216,198.3,0.0,994.8616537669791,27648,27.790798746049404
224,225.5,0.0,1010.4054185585147,28672,28.3767282650806
232,242.3,0.0,1025.3036291573133,29696,28.963127756025642
240,203.4,0.0,1040.901796310902,30720,29.51287057902664
248,214.3,0.0,1056.4352361300346,31744,30.0482215230586
256,275.3,0.0,1068.9074393925982,32768,30.65560102998279
264,335.8,0.0,1082.005322170031,33792,31.230899985064752
272,282.0,0.0,1093.639510884885,34816,31.834987355046906
280,258.3,0.0,1106.7457239520465,35840,32.38322879804764
